Category,ID,Type,Question,Answer
카테고리 B — 교육일정 (Schedule),B20,단순,교육 일정 관련 문의는 어디로 하면 되나요?,"helper.ryan(헬퍼라이언)에게 문의 가능합니다. 운영시간은 오전 9시~오후 6시이며, 과정 운영 전반에 대한 문의를 받습니다."
카테고리 C — 지원 (Support),C01,단순,헬퍼라이언(helper.ryan)의 운영시간은 어떻게 되나요?,오전 9시부터 오후 6시까지입니다. 정규 운영시간 외에는 답변이 어려울 수 있습니다.
카테고리 C — 지원 (Support),C02,단순,헬퍼라이언(helper.ryan)에게 교육 과정 내용에 대해 질문할 수 있나요?,"아닙니다. 헬퍼라이언은 교육 과정 내용에 대한 질문은 받지 않으며, 운영 관련 문의만 가능합니다."
카테고리 C — 지원 (Support),C03,단순,헬퍼라이언(helper.ryan)이 응대 가능한 문의 항목은 무엇인가요?,"출결 규정 및 서류 관련, 중도포기 및 조기취업·수료 관련, 과정 운영 전반, 과정 운영 지원에 대한 문의가 가능합니다."
카테고리 C — 지원 (Support),C04,단순,통합신청센터는 어떤 방식으로 제공되나요?,통합신청센터는 Google Forms로 제공됩니다.
카테고리 C — 지원 (Support),C05,절차,통합신청센터에서 어떤 항목들을 신청할 수 있나요?,"8가지 항목을 신청할 수 있습니다:
1. 출석 인정 사전 신청
2. 출석 인정 증빙서류 제출
3. 휴가 신청
4. 휴가 취소
5. 출석부/수강 증명서 발급 신청
6. 출석 정정 요청
7. 고용형태 변경 신청
8. 중도 포기 및 수강 철회 신청"
카테고리 C — 지원 (Support),C06,조건부,출석 인정 사전 신청의 마감 시간은 언제인가요?,발생일 기준 3일 전 오후 5시까지 신청해야 합니다.
카테고리 C — 지원 (Support),C07,조건부,출석 인정 증빙서류는 언제까지 제출해야 하나요?,사전 신청한 다음날 오후 5시까지 제출해야 합니다.
카테고리 C — 지원 (Support),C08,단순,통합신청센터 알림은 어디서 받을 수 있나요?,디스코드의 `✅ 통합신청센터-알리미` 채널에서 신청 처리 알림을 받을 수 있습니다.
카테고리 C — 지원 (Support),C09,단순,출석 관련 문의는 디스코드 어느 채널에서 할 수 있나요?,디스코드의 `❓ 출석문의사항` 채널에서 문의할 수 있습니다.
카테고리 C — 지원 (Support),C10,단순,디스코드에는 어떤 채널들이 있나요?,"5개의 채널이 있습니다: 📢 공지사항, 🎤 소통방, ⏰ 출결체크-리마인드, ✅ 통합신청센터-알리미, ❓ 출석문의사항"
카테고리 C — 지원 (Support),C11,단순,팀프로젝트 때 사용할 채널은 어떻게 되나요?,팀프로젝트를 위해 팀별 채널이 별도로 생성될 예정입니다.
카테고리 C — 지원 (Support),C12,단순,회의실 예약은 어떻게 하나요?,Notion의 '회의실 예약 방법' DB 항목 또는 내비게이션의 `🤝🏻 회의실 예약` 버튼을 통해 예약 가능합니다. (상세 방법은 Notion DB 확인 필요)
카테고리 C — 지원 (Support),C13,단순,사무실 프린터 사용 방법은 어디서 확인할 수 있나요?,지원 탭의 '프린터 사용 방법' Notion DB 항목에서 확인 가능합니다.
카테고리 C — 지원 (Support),C14,단순,공유 도서관은 어떻게 이용하나요?,지원 탭의 '공유 도서관' Notion DB 항목에서 이용 방법을 확인할 수 있습니다.
카테고리 C — 지원 (Support),C15,단순,전문 서적 지원을 받을 수 있나요?,"네, 지원 탭의 '전문 서적 지원' 항목을 통해 관련 내용을 확인할 수 있습니다."
카테고리 C — 지원 (Support),C16,단순,모니터 등 장비 이상이 있을 때는 어떻게 하나요?,지원 탭의 '모니터 이상 현상 제보' 항목을 통해 제보할 수 있습니다.
카테고리 C — 지원 (Support),C17,단순,통합신청센터는 어디서 찾을 수 있나요?,"메인 페이지의 내비게이션에 있는 `💡 통합신청센터` 버튼, 또는 OT 온보딩 가이드 내 링크를 통해 접속 가능합니다."
카테고리 C — 지원 (Support),C18,단순,휴가는 언제부터 사용할 수 있나요?,6월부터 사용 가능합니다. (또는 수강철회 기간 이후)
카테고리 C — 지원 (Support),C19,단순,고용형태가 변경되면 어떻게 신고하나요?,통합신청센터의 '고용형태 변경 신청' 항목을 통해 신청할 수 있습니다.
카테고리 C — 지원 (Support),C20,단순,디스코드에서 자유롭게 대화할 수 있는 채널은 어디인가요?,`🎤 소통방` 채널에서 자유로운 소통이 가능합니다.
카테고리 D — 훈련 장려금 (Training Incentive),D01,단순,훈련장려금의 최대 지급액은 얼마인가요?,"단위기간 출석률 80% 이상일 경우 최대 200,000원(일 10,000원)입니다."
카테고리 D — 훈련 장려금 (Training Incentive),D02,단순,K-디지털 트레이닝 특별훈련수당의 최대 지급액은 얼마인가요?,"단위기간 출석률 80% 이상일 경우 최대 100,000원(일 5,000원)입니다."
카테고리 D — 훈련 장려금 (Training Incentive),D03,단순,하루 출석 시 받을 수 있는 총 지원금은 얼마인가요?,"훈련장려금(10,000원) + K-디지털 특별훈련수당(5,000원) = **하루 15,000원**입니다."
카테고리 D — 훈련 장려금 (Training Incentive),D04,조건부,한 달간 하루도 결석하지 않고 출석하면 총 얼마를 받을 수 있나요?,"하루 15,000원 기준, 한 달(약 20~22일)을 결석 없이 출석하면 약 300,000원~330,000원을 받을 수 있습니다. (훈련장려금 최대 200,000원 + 특별수당 최대 100,000원, 일수에 따라 달라짐)"
카테고리 D — 훈련 장려금 (Training Incentive),D05,조건부,한 달 동안 2일 결석하면 훈련장려금은 얼마나 차감되나요?,"훈련장려금은 일 10,000원이 차감되어 2일 결석 시 20,000원 감소합니다. K-디지털 특별훈련수당도 일 5,000원씩 차감되어 추가로 10,000원이 감소합니다. 합계 30,000원이 차감됩니다."
카테고리 D — 훈련 장려금 (Training Incentive),D06,단순,출석률이 80% 미만이면 훈련장려금을 받을 수 있나요?,아닙니다. 출석률 80% 미만이면 훈련장려금과 K-디지털 특별훈련수당 모두 지급되지 않습니다.
카테고리 D — 훈련 장려금 (Training Incentive),D07,단순,훈련장려금 지급 대상이 되려면 어떤 고용형태여야 하나요?,구직자(실업자) 또는 주 15시간 미만 근로자여야 합니다.
카테고리 D — 훈련 장려금 (Training Incentive),D08,단순,개인 사업자나 재직자는 훈련장려금을 받을 수 있나요?,"아닙니다. 개인 사업자, 재직자 및 근로자는 출석률과 무관하게 훈련장려금 지급 제외 대상입니다."
카테고리 D — 훈련 장려금 (Training Incentive),D09,조건부,"교육 입과 당시에는 재직자였는데, 중간에 퇴사했습니다. 훈련장려금을 받을 수 있나요?","네, 가능합니다. 고용보험 상실 신고서를 제출하여 고용형태 변경(구직자)을 통합신청센터에 신청하면 변경 후 훈련장려금을 수령할 수 있습니다."
카테고리 D — 훈련 장려금 (Training Incentive),D10,절차,훈련장려금 지급까지의 전체 절차와 소요일을 알려주세요.,"총 5단계로 진행됩니다:
1. 단위기간 종료 후 출석 정정 신청 기간 제공 (1주)
2. 출석 이의 신청 내용 확인 (2~3일)
3. 고용센터 출석 정정 공문 요청 및 처리 (2~4일)
4. 훈련기관이 훈련 장려금 대리 신청 (1일)
5. 고용센터 확인 및 지급 (최소 2주~1달)
→ 전체 최소 약 1개월 소요"
카테고리 D — 훈련 장려금 (Training Incentive),D11,단순,훈련장려금은 누가 신청하나요?,"훈련생 개인이 직접 신청하는 것이 아니라, 훈련기관에서 대리로 신청합니다."
카테고리 D — 훈련 장려금 (Training Incentive),D12,단순,훈련장려금은 언제 지급되나요?,단위기간 종료 후 최소 1개월 이후에 지급됩니다.
카테고리 D — 훈련 장려금 (Training Incentive),D13,단순,K-디지털 트레이닝 특별훈련수당은 1일 결석 시 얼마가 차감되나요?,"1일 결석마다 5,000원씩 차감됩니다."
카테고리 D — 훈련 장려금 (Training Incentive),D14,계산,한 단위기간(20일 기준)에 3일 결석하면 훈련장려금과 특별수당을 각각 얼마나 받나요?,"- 훈련장려금: 20일 중 17일 출석 → 17일 × 10,000원 = 170,000원 (결석 3일 × 10,000원 차감)
- K-디지털 특별수당: (20일 - 3일) × 5,000원 = 85,000원 (3일 × 5,000원 차감)
- 합계: 255,000원"
카테고리 D — 훈련 장려금 (Training Incentive),D15,단순,지급 금액은 모두 동일한가요?,아닙니다. 지급 금액은 개인 조건(고용형태 등)에 따라 변동될 수 있습니다.
카테고리 D — 훈련 장려금 (Training Incentive),D16,단순,훈련장려금은 어떤 기준으로 지급되나요?,단위기간 출석률 80% 이상을 기준으로 지급됩니다. 단위기간별로 출결 및 고용형태 확인이 완료된 이후에 지급됩니다.
카테고리 D — 훈련 장려금 (Training Incentive),D17,단순,출석 정정 신청 기간은 왜 제공되나요?,"훈련장려금이 출결과 연관되어 있기 때문에, 정정이 필요한 교육생을 위해 단위기간 종료 후 1주간의 출석 정정 신청 기간이 제공됩니다."
카테고리 D — 훈련 장려금 (Training Incentive),D18,단순,훈련장려금 지급 순서 중 가장 오래 걸리는 단계는 무엇인가요?,5단계(고용센터 확인 및 지급)가 최소 2주~1달로 가장 오래 걸립니다.
카테고리 D — 훈련 장려금 (Training Incentive),D19,단순,주 20시간 근로자는 훈련장려금을 받을 수 있나요?,"아닙니다. 주 15시간 미만 근로자만 지급 대상이며, 주 20시간은 기준을 초과하므로 훈련장려금 지급 제외 대상입니다."
카테고리 D — 훈련 장려금 (Training Incentive),D20,비교,훈련장려금과 K-디지털 특별훈련수당의 차이는 무엇인가요?,"두 가지 모두 단위기간 출석률 80% 이상이 기준이며, 지급액과 차감 방식이 다릅니다.
- 훈련장려금: 최대 200,000원 (일 10,000원), 단순 차감
- 특별훈련수당: 최대 100,000원 (일 5,000원), 1일 결석마다 5,000원 차감
- 합계: 1일 출석 시 15,000원"
